datetime,Amt[PrecipHourly1]
1388552400,0.0
1388556000,0.0
1388559600,0.0
1388563200,0.0
1388566800,0.0
1388570400,0.0
1388574000,0.0
1388577600,0.0
1388581200,0.0
1388584800,0.0
1388588400,0.0
1388592000,0.0
1388595600,0.0
1388599200,0.0
1388602800,0.0
1388606400,0.0
1388610000,0.0
1388613600,0.0
1388617200,0.0
1388620800,0.0
1388624400,0.0
1388628000,0.0
1388631600,0.0
1388635200,0.0
1388638800,0.0
1388642400,0.0
1388646000,0.0
1388649600,0.0
1388653200,0.0
1388656800,0.0
1388660400,0.0
1388664000,0.0
1388667600,0.0
1388671200,0.0
1388674800,0.0
1388678400,0.0
1388682000,0.0
1388685600,0.0
1388689200,0.0
1388692800,0.0
1388696400,0.0
1388700000,0.0
1388703600,0.0
1388707200,0.15
1388710800,0.16666666666666666
1388714400,0.5
1388718000,0.3
1388721600,1.5
1388725200,1.4333333333333333
1388728800,0.8
1388732400,2.4
1388736000,0.35
1388739600,0.3
1388743200,1.25
1388746800,0.5
1388750400,0.35
1388754000,1.1666666666666667
1388757600,0.25
1388761200,0.09999999999999999
1388764800,0.19999999999999998
1388768400,0.5
1388772000,0.0
1388775600,0.15
1388779200,0.0
1388782800,0.0
1388786400,0.0
1388790000,0.0
1388793600,0.0
1388797200,0.0
1388800800,0.0
1388804400,0.0
1388808000,0.0
1388811600,2.8
1388815200,0.0
1388818800,0.0
1388822400,0.0
1388826000,0.0
1388829600,0.0
1388833200,0.0
1388836800,0.0
1388840400,0.15
1388844000,0.0
1388847600,0.0
1388851200,0.0
1388854800,0.0
1388858400,0.0
1388862000,0.0
1388865600,0.0
1388869200,0.0
1388872800,0.0
1388876400,0.0
1388880000,0.0
1388883600,0.0
1388887200,0.0
1388890800,0.0
1388894400,0.0
1388898000,0.0
1388901600,0.0
1388905200,0.0
1388908800,0.0
1388912400,0.0
1388916000,0.0
1388919600,0.0
1388923200,0.0
1388926800,0.0
1388930400,0.5
1388934000,0.15
1388937600,0.43333333333333335
1388941200,0.09999999999999999
1388944800,0.0
1388948400,1.0
1388952000,0.0
1388955600,0.0
1388959200,0.0
1388962800,0.0
1388966400,0.0
1388970000,0.0
1388973600,0.0
1388977200,0.09999999999999999
1388980800,0.3
1388984400,0.9333333333333332
1388988000,0.25
1388991600,1.25
1388995200,0.5
1388998800,0.3
1389002400,0.6
1389006000,0.15
1389009600,0.3
1389013200,1.7333333333333334
1389016800,1.3
1389020400,0.9666666666666667
1389024000,2.1666666666666665
1389027600,0.0
1389031200,0.09999999999999999
1389034800,3.15
1389038400,0.0
1389042000,0.0
1389045600,0.15
1389049200,0.0
1389052800,0.0
1389056400,0.15
1389060000,0.0
1389063600,0.0
1389067200,0.0
1389070800,5.2
1389074400,0.0
1389078000,0.0
1389081600,0.0
1389085200,0.0
1389088800,0.0
