datetime,Temp[Temp]
1388552400,-2.925
1388556000,-3.3
1388559600,-3.3
1388563200,-3.9
1388566800,-3.9
1388570400,-3.9
1388574000,-3.9
1388577600,-4.4
1388581200,-4.15
1388584800,-1.1
1388588400,0.0
1388592000,0.0
1388595600,0.6
1388599200,0.6
1388602800,0.6
1388606400,0.6
1388610000,0.6
1388613600,0.3
1388617200,0.0
1388620800,0.6
1388624400,0.3
1388628000,0.0
1388631600,0.0
1388635200,0.0
1388638800,0.6
1388642400,0.6
1388646000,0.6
1388649600,0.6
1388653200,0.0
1388656800,-0.3
1388660400,-1.1
1388664000,-1.1
1388667600,-1.2666666666666666
1388671200,-1.7
1388674800,-1.7
1388678400,-1.7
1388682000,-2.1
1388685600,-2.2
1388689200,-2.3333333333333335
1388692800,-2.9
1388696400,-2.9
1388700000,-2.8
1388703600,-3.3
1388707200,-3.95
1388710800,-4.1000000000000005
1388714400,-4.5
1388718000,-5.6
1388721600,-6.15
1388725200,-7.2
1388728800,-7.8
1388732400,-8.35
1388736000,-9.2
1388739600,-11.7
1388743200,-11.7
1388746800,-11.1
1388750400,-11.05
1388754000,-11.6
1388757600,-11.05
1388761200,-10.666666666666666
1388764800,-9.799999999999999
1388768400,-8.3
1388772000,-7.8
1388775600,-7.8
1388779200,-7.8
1388782800,-8.9
1388786400,-9.15
1388790000,-10.0
1388793600,-10.6
1388797200,-10.6
1388800800,-11.1
1388804400,-12.2
1388808000,-12.2
1388811600,-12.2
1388815200,-12.2
1388818800,-12.75
1388822400,-13.9
1388826000,-13.3
1388829600,-13.05
1388833200,-12.8
1388836800,-12.2
1388840400,-12.2
1388844000,-9.4
1388847600,-7.8
1388851200,-7.25
1388854800,-5.6
1388858400,-5.0
1388862000,-4.7
1388865600,-4.4
1388869200,-3.9
1388872800,-3.5999999999999996
1388876400,-3.9
1388880000,-2.8
1388883600,-2.25
1388887200,-2.2
1388890800,-1.1
1388894400,-1.6500000000000001
1388898000,-2.925
1388901600,-3.3
1388905200,-3.5999999999999996
1388908800,-2.2
1388912400,-3.3
1388916000,-2.8333333333333335
1388919600,-1.7
1388923200,-1.1
1388926800,-0.925
1388930400,-0.6
1388934000,0.0
1388937600,0.0
1388941200,0.8666666666666667
1388944800,1.05
1388948400,1.1
1388952000,1.7
1388955600,2.2
1388959200,2.3333333333333335
1388962800,3.95
1388966400,3.3000000000000003
1388970000,3.9333333333333336
1388973600,7.1
1388977200,7.966666666666666
1388980800,8.9
1388984400,9.366666666666665
1388988000,10.0
1388991600,10.85
1388995200,10.866666666666667
1388998800,10.0
1389002400,10.72
1389006000,9.2
1389009600,9.4
1389013200,10.333333333333334
1389016800,10.6
1389020400,8.966666666666667
1389024000,8.733333333333333
1389027600,7.2
1389031200,7.066666666666666
1389034800,5.800000000000001
1389038400,4.4
1389042000,5.6
1389045600,5.0
1389049200,3.3
1389052800,2.8
1389056400,2.25
1389060000,0.0
1389063600,-1.1
1389067200,-1.95
1389070800,-6.8
1389074400,-8.9
1389078000,-9.75
1389081600,-11.1
1389085200,-12.2
1389088800,-12.5
1389092400,-13.3
1389096000,-13.9
1389099600,-14.15
1389103200,-13.9
1389106800,-13.3
1389110400,-13.05
1389114000,-12.2
1389117600,-11.7
1389121200,-11.399999999999999
1389124800,-11.7
1389128400,-11.7
1389132000,-11.95
1389135600,-12.2
1389139200,-12.2
1389142800,-12.2
1389146400,-11.7
1389150000,-11.7
1389153600,-11.7
1389157200,-11.7
1389160800,-11.7
1389164400,-11.95
1389168000,-12.2
1389171600,-12.2
1389175200,-12.2
1389178800,-12.2
1389182400,-12.2
1389186000,-11.95
1389189600,-10.6
1389193200,-9.4
1389196800,-8.850000000000001
1389200400,-7.2
1389204000,-6.7
1389207600,-6.4
1389211200,-5.6
1389214800,-5.6
1389218400,-5.85
1389222000,-5.6
1389225600,-5.6
1389229200,-5.6
1389232800,-5.6
1389236400,-5.0
1389240000,-4.7
1389243600,-4.4
1389247200,-4.4
1389250800,-4.15
1389254400,-3.9
1389258000,-3.9
1389261600,-3.9
1389265200,-4.4
1389268800,-4.4
1389272400,-4.4
1389276000,-2.8
1389279600,-2.2
1389283200,-1.6500000000000001
1389286800,-0.6
1389290400,0.0
1389294000,0.3
1389297600,0.0
1389301200,-0.6
1389304800,-1.95
1389308400,-3.3
1389312000,-2.2
1389315600,-2.75
1389319200,-3.3
1389322800,-3.3
1389326400,-3.5999999999999996
1389330000,-3.175
1389333600,-2.8
1389337200,-2.5
1389340800,-2.1
1389344400,-1.7
1389348000,-1.4
1389351600,-0.6
1389355200,-0.5
1389358800,0.0
1389362400,0.5333333333333333
1389366000,0.6
1389369600,0.6
1389373200,1.35
1389376800,2.2
1389380400,2.75
1389384000,2.9333333333333336
1389387600,2.8
1389391200,2.8666666666666667
1389394800,2.9
1389398400,2.9
1389402000,3.05
1389405600,3.075
1389409200,3.1
1389412800,3.05
1389416400,3.2249999999999996
1389420000,3.45
1389423600,4.45
1389427200,7.266666666666667
1389430800,8.9
1389434400,9.15
1389438000,10.8
1389441600,10.8
1389445200,10.333333333333334
1389448800,9.466666666666667
1389452400,9.4
1389456000,10.0
1389459600,10.666666666666666
1389463200,11.7
1389466800,11.360000000000001
1389470400,11.033333333333333
1389474000,10.3
1389477600,9.75
1389481200,10.65
1389484800,10.0
1389488400,10.366666666666667
1389492000,10.0
1389495600,10.35
1389499200,9.15
1389502800,8.475000000000001
1389506400,8.9
1389510000,8.933333333333332
1389513600,9.4
1389517200,8.9
1389520800,8.35
1389524400,7.8
1389528000,7.2
1389531600,7.2
1389535200,6.7
1389538800,7.8
1389542400,7.8
1389546000,7.8
1389549600,8.9
1389553200,8.600000000000001
1389556800,7.2
1389560400,8.3
1389564000,7.75
1389567600,5.6
1389571200,5.0
1389574800,5.0
1389578400,4.4
1389582000,2.8
1389585600,3.05
1389589200,0.9750000000000001
1389592800,0.6
1389596400,0.8500000000000001
1389600000,-0.6
1389603600,0.6
1389607200,0.3
1389610800,0.0
1389614400,0.6
1389618000,0.8500000000000001
1389621600,4.4
1389625200,6.7
1389628800,7.5
1389632400,9.4
1389636000,8.9
1389639600,8.9
1389643200,8.9
1389646800,8.9
1389650400,8.600000000000001
1389654000,7.8
1389657600,7.8
1389661200,7.5
1389664800,7.8
1389668400,7.2
1389672000,7.2
1389675600,6.7
1389679200,6.7
1389682800,6.7
1389686400,7.2
1389690000,7.2
1389693600,7.2
1389697200,6.7
1389700800,6.7
1389704400,6.95
1389708000,7.8
1389711600,8.3
1389715200,8.05
1389718800,8.1
1389722400,7.9
1389726000,7.8
1389729600,8.075
1389733200,8.966666666666667
1389736800,8.933333333333332
1389740400,8.3
1389744000,8.3
1389747600,8.05
1389751200,8.3
1389754800,7.2
1389758400,6.65
1389762000,5.824999999999999
1389765600,5.0
1389769200,4.45
1389772800,2.2
1389776400,1.7
1389780000,1.48
1389783600,1.0
1389787200,1.35
1389790800,1.9500000000000002
1389794400,2.2
1389798000,3.15
1389801600,3.5999999999999996
1389805200,3.9
1389808800,4.2
1389812400,4.8
1389816000,5.6
1389819600,5.6
1389823200,5.3
1389826800,4.7
1389830400,3.966666666666667
1389834000,3.5999999999999996
1389837600,3.95
1389841200,4.2
1389844800,4.2
1389848400,4.300000000000001
1389852000,4.5
1389855600,5.0
1389859200,4.5
1389862800,5.866666666666667
1389866400,5.733333333333333
1389870000,5.8
1389873600,5.0
1389877200,5.0
1389880800,3.9
1389884400,3.95
1389888000,3.9
1389891600,4.4
1389895200,5.0
1389898800,5.3
1389902400,5.0
1389906000,4.2
1389909600,4.1000000000000005
1389913200,3.95
1389916800,3.3
1389920400,3.1999999999999997
1389924000,3.3
1389927600,2.9
1389931200,2.8
1389934800,1.5499999999999998
1389938400,1.1
1389942000,0.25000000000000006
1389945600,-1.1
1389949200,-1.1
1389952800,-1.4
1389956400,-1.7
1389960000,-1.1
1389963600,-0.55
1389967200,2.8
1389970800,4.4
1389974400,5.0
1389978000,6.7
1389981600,6.7
1389985200,6.7
1389988800,6.7
1389992400,6.1
1389996000,5.55
1389999600,4.4
1390003200,2.8
1390006800,3.3499999999999996
1390010400,3.9
1390014000,4.4
1390017600,4.15
1390021200,4.025
1390024800,4.4
1390028400,4.4
1390032000,4.4
1390035600,4.133333333333334
1390039200,4.15
1390042800,3.3
1390046400,2.8
1390050000,3.3499999999999996
1390053600,5.6
1390057200,5.0
1390060800,3.175
1390064400,2.4
1390068000,3.075
1390071600,3.5999999999999996
1390075200,3.95
1390078800,3.3
1390082400,3.05
1390086000,1.7
1390089600,1.1
1390093200,0.8500000000000001
1390096800,0.0
1390100400,-0.6
1390104000,-0.8500000000000001
1390107600,-1.8250000000000002
1390111200,-2.2
1390114800,-2.2
1390118400,-3.3
1390122000,-3.3
1390125600,-3.3
1390129200,-3.3
1390132800,-3.3
1390136400,-3.3
1390140000,-2.8
1390143600,-2.2
1390147200,-1.6500000000000001
1390150800,0.0
1390154400,0.6
1390158000,1.15
1390161600,1.7
1390165200,2.8
1390168800,2.5
1390172400,2.8
1390176000,2.2
1390179600,2.2
1390183200,2.8
1390186800,3.3
1390190400,3.05
1390194000,2.8
1390197600,2.8
1390201200,2.5
1390204800,3.3
1390208400,2.8
1390212000,2.5
1390215600,1.7
1390219200,2.8
1390222800,2.8
1390226400,3.3
1390230000,4.4
1390233600,4.7
1390237200,5.6
1390240800,6.7
1390244400,7.5
1390248000,8.3
1390251600,7.8
1390255200,7.25
1390258800,6.1
1390262400,5.6
1390266000,5.6
1390269600,5.6
1390273200,3.3
1390276800,2.75
1390280400,0.675
1390284000,-0.6
1390287600,-1.15
1390291200,-2.8
1390294800,-2.8
1390298400,-3.05
1390302000,-2.8
1390305600,-2.8
1390309200,-3.05
1390312800,-4.2
1390316400,-4.133333333333334
1390320000,-5.5
1390323600,-6.05
1390327200,-7.2
1390330800,-7.6000000000000005
1390334400,-8.3
1390338000,-8.633333333333333
1390341600,-8.600000000000001
1390345200,-8.45
1390348800,-8.95
1390352400,-9.15
1390356000,-10.0
1390359600,-10.200000000000001
1390363200,-10.55
1390366800,-10.850000000000001
1390370400,-10.8
1390374000,-10.6
1390377600,-11.7
1390381200,-11.7
1390384800,-11.7
1390388400,-12.8
1390392000,-13.3
1390395600,-13.600000000000001
1390399200,-13.3
1390402800,-13.3
1390406400,-12.75
1390410000,-11.1
1390413600,-9.4
1390417200,-8.850000000000001
1390420800,-8.3
1390424400,-7.8
1390428000,-8.05
1390431600,-8.9
1390435200,-8.9
1390438800,-9.15
1390442400,-10.6
1390446000,-11.1
1390449600,-11.399999999999999
1390453200,-11.825
1390456800,-12.2
1390460400,-12.2
1390464000,-12.2
1390467600,-12.8
1390471200,-12.5
1390474800,-12.8
1390478400,-12.8
1390482000,-12.8
1390485600,-11.7
1390489200,-11.1
1390492800,-10.25
1390496400,-7.8
1390500000,-7.2
1390503600,-6.95
1390507200,-6.7
1390510800,-6.7
1390514400,-6.7
1390518000,-6.7
1390521600,-6.7
1390525200,-6.95
