datetime,Spd[Wind]
1388552400,7.7
1388556000,7.2
1388559600,5.65
1388563200,5.7
1388566800,5.1
1388570400,5.65
1388574000,5.1
1388577600,3.1
1388581200,2.85
1388584800,4.1
1388588400,7.2
1388592000,5.9
1388595600,5.1
1388599200,3.6
1388602800,4.35
1388606400,2.6
1388610000,2.1
1388613600,1.05
1388617200,2.1
1388620800,3.1
1388624400,2.85
1388628000,3.1
1388631600,3.5999999999999996
1388635200,4.1
1388638800,3.6
1388642400,5.7
1388646000,5.7
1388649600,6.2
1388653200,6.7
1388656800,6.7
1388660400,8.8
1388664000,6.7
1388667600,7.733333333333333
1388671200,9.3
1388674800,9.3
1388678400,9.3
1388682000,8.75
1388685600,8.2
1388689200,8.933333333333334
1388692800,8.25
1388696400,8.75
1388700000,8.5
1388703600,8.2
1388707200,8.5
1388710800,8.766666666666667
1388714400,8.5
1388718000,9.3
1388721600,8.75
1388725200,9.966666666666667
1388728800,10.3
1388732400,9.8
1388736000,10.8
1388739600,11.3
1388743200,10.55
1388746800,9.3
1388750400,11.3
1388754000,13.200000000000001
1388757600,12.100000000000001
1388761200,11.133333333333335
1388764800,9.433333333333334
1388768400,9.3
1388772000,8.2
1388775600,10.0
1388779200,9.8
1388782800,9.8
1388786400,9.3
1388790000,7.2
1388793600,7.2
1388797200,6.15
1388800800,4.1
1388804400,3.6
1388808000,4.1
1388811600,4.1
1388815200,2.6
1388818800,2.35
1388822400,1.5
1388826000,2.1
1388829600,1.05
1388833200,0.0
1388836800,0.0
1388840400,0.0
1388844000,3.6
1388847600,3.6
1388851200,4.1
1388854800,4.6
1388858400,5.7
1388862000,4.4
1388865600,4.1
1388869200,2.6
1388872800,2.05
1388876400,2.6
1388880000,5.7
1388883600,6.2
1388887200,5.7
1388890800,5.1
1388894400,5.1
1388898000,4.6
1388901600,4.6
1388905200,4.1
1388908800,2.6
1388912400,1.5
1388916000,1.5
1388919600,2.6
1388923200,0.0
1388926800,0.375
1388930400,1.5
1388934000,0.0
1388937600,0.0
1388941200,0.5
1388944800,2.1
1388948400,2.85
1388952000,3.1
1388955600,2.6
1388959200,2.766666666666667
1388962800,4.1
1388966400,2.766666666666667
1388970000,2.6
1388973600,4.6
1388977200,6.666666666666667
1388980800,8.2
1388984400,9.266666666666667
1388988000,9.55
1388991600,10.3
1388995200,8.733333333333333
1388998800,10.8
1389002400,11.0
1389006000,7.7
1389009600,6.7
1389013200,9.6
1389016800,12.4
1389020400,8.233333333333333
1389024000,6.533333333333334
1389027600,5.7
